Setophaga americana,004d1e59d461d2bf0c4b38a86186ac18.jpg,189,61,463,642,0.8132167
Setophaga americana,03cc2ea48902f0b6892cf6345d169aa6.jpg,229,304,462,454,0.7270081
Setophaga americana,041ab705cd02d00e5651226db93761af.jpg,64,351,298,615,0.8428568
Setophaga americana,05a0301643b068c75113d594da6264b2.jpg,184,312,301,424,0.76154244
Setophaga americana,05d13df403917a7d0192f068368b621b.jpg,0,0,600,800,-1
Setophaga americana,061e78900fa84d27cc2d2e4072140e94.jpg,150,220,379,665,0.6896498
Setophaga americana,0675c7a4256151899fa9598bf9c6c8e8.jpg,0,0,450,800,-1
Setophaga americana,079ff8ce6ace26f118180d3747dca8b4.jpg,78,346,446,790,0.7340728
Setophaga americana,0ba76af55be49d6b36f1d11c521726e8.jpg,221,227,616,495,0.7988116
Setophaga americana,0bc329998eead43093675b39886a43b3.jpg,0,0,499,800,-1
Setophaga americana,0c03b8327e941680e45f872243e929c8.jpg,0,0,573,800,-1
Setophaga americana,0c379a39a39711bdae21702f1c4d2e25.jpg,157,284,401,488,0.675308
Setophaga americana,0d6d064e6620673a1e7e8d450fc83807.jpg,166,203,650,471,0.44339216
Setophaga americana,0d6d064e6620673a1e7e8d450fc83807.jpg,114,170,677,644,0.5752669
Setophaga americana,0efbf36295fd3ec15f749343adb44ba8.jpg,0,0,800,663,-1
Setophaga americana,111846b92758506779ed0363759a57d5.jpg,119,214,667,387,0.82521737
Setophaga americana,1122328429889bc8f0e18b68cfa1c946.jpg,359,251,592,506,0.3281937
Setophaga americana,133ce2b76bd335c9256827a09d3a154d.jpg,249,307,335,398,0.43185925
Setophaga americana,13de589e10ca914cea13add40c55b040.jpg,215,177,732,378,0.915071
Setophaga americana,1461b9085f1a9c76f7c84a457b0957f0.jpg,218,29,411,450,0.5130748
Setophaga americana,1461b9085f1a9c76f7c84a457b0957f0.jpg,97,94,451,451,0.7263273
Setophaga americana,1614cb1c704f81cc842eb854aa1444be.jpg,240,338,310,441,0.7895699
Setophaga americana,1699774c9701ade9f9238345a08a6cbc.jpg,80,389,359,587,0.84746563
Setophaga americana,1a65097b91cd49b66919028274de6e58.jpg,63,396,486,616,0.8581093
Setophaga americana,1c80a5e64b7437ecb0c3bbc449419630.jpg,184,309,340,497,0.72737855
Setophaga americana,1d8d255a21197257a25492d3ebb8db27.jpg,138,325,357,462,0.47626957
Setophaga americana,1ed361b7609cd3a3ca88eef8939b6875.jpg,0,0,600,800,-1
Setophaga americana,20f0a7e0d4bfd83c7a7222157c0e3c90.jpg,77,119,488,685,0.9116839
Setophaga americana,235e3e801d5c1999a9a167ade01117e3.jpg,179,264,357,510,0.75372005
Setophaga americana,23785c128294cbafc2e838f832d0ce44.jpg,210,307,307,417,0.596873
Setophaga americana,23e7047412c3fc14a0de8326e467d95f.jpg,82,228,663,720,0.9105966
Setophaga americana,2856835e6affc07ab861b566a80ebadd.jpg,234,342,458,546,0.3400928
Setophaga americana,2856835e6affc07ab861b566a80ebadd.jpg,243,65,462,583,0.6450549
Setophaga americana,28c26d5412efaa5ec789c40c7fd52c89.jpg,177,397,284,492,0.4236535
Setophaga americana,2ac860ed6faaa44c74abf9f157b90620.jpg,267,126,654,358,0.86611915
Setophaga americana,2af7c181dfb0206381a5a133387705b9.jpg,229,172,394,497,0.8435435
Setophaga americana,2be1b5ec1c247a6349a977f42c5ef3eb.jpg,155,130,369,684,0.7532747
Setophaga americana,2d1b3087ccf7e2a2266d36da827b619d.jpg,255,574,340,689,0.45881042
Setophaga americana,2d1b3087ccf7e2a2266d36da827b619d.jpg,206,375,396,535,0.7672697
Setophaga americana,2e09267be4289707ffcd0018caa93074.jpg,0,0,800,600,-1
Setophaga americana,2e4476ba017aa2b9b5e71f55cbbfbd6a.jpg,158,151,386,402,0.76608795
Setophaga americana,3114b4e4e743ef61ae4cf585d8a19949.jpg,251,253,353,448,0.76769745
Setophaga americana,33019d4de318cb2fce150e94fbf6fae9.jpg,300,270,758,590,0.9052657
Setophaga americana,336f3daeee05283f2d58718560b15da0.jpg,223,437,539,757,0.6795092
Setophaga americana,33afb0a66f66ce10112113b5e239664c.jpg,136,257,383,691,0.8680079
Setophaga americana,34847646b339a026e2b30d276cdc3698.jpg,0,0,620,800,-1
Setophaga americana,350b33e960c14aa6286076a0954c25ac.jpg,199,425,321,574,0.70158106
Setophaga americana,36a07d24d183d151e84195414909ca45.jpg,249,329,484,490,0.31631806
Setophaga americana,36a07d24d183d151e84195414909ca45.jpg,258,356,479,652,0.7401649
